IDX   LABEL PC UI CLKT   CS0   CS1   CA WCKT RDQST   DMI0 DMI1 DATAe DATAo 
00000D          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000D          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000D          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000D          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000D          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000D          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000E          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
00000F          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000010          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000011          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000012          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000013          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000013          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000013          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
