DO	FU	HB	CB	NB	DU	SG	HTEMP	tPD	V185	V186	V187	V188	V189	V190	V191	V192	V193	V194	V195	V196	V197	V198	V199	V200	V201	V202	V203	V204	V205	V206	V207	V208	cycle	run	wf	x	y	mask	line	part	lot	step	test_model	tester	test	V209	V210	V211	V212	V213	V214	V215	V216	V217	V218	V219	V220	V221	V222	V223
2	R	6	N	2088	81	x08B47DE008404199	77:00:00	55.85	0.809	0.963	0.953	0.605	0.631	0.634	0.979	1.119	1.114	0.671	0.699	0.706	1.095	1.238	1.233	NRT	2088	0	853	857	893	0	0	0	33	PCI021	15	31	45	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	e00000	0	0	0	0	e0000000	0
3	R	6	N	0	81	x08988E0020404199	78:00:00	55.99	0.803	0.938	0.931	0.6	0.631	0.626	0.973	1.114	1.099	0.667	0.706	0.704	1.093	1.238	1.223	NRT	0	0	857	0	0	0	0	0	33	PCI024	16	35	38	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	R	6	N	0	81	x08B489E008404199	80:00:00	55.96	0.805	0.928	0.936	0.602	0.624	0.636	0.973	1.094	1.104	0.666	0.699	0.696	1.087	1.218	1.233	NRT	0	0	857	0	0	0	0	0	33	PCI021	15	34	45	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	R	2	G	0	82	x088C7E0020404199	69:00:00	57.39	0.812	0.938	0.958	0.605	0.631	0.634	0.982	1.104	1.114	0.674	0.709	0.709	1.104	1.233	1.243	NRT	0	0	857	857	857	857	0	0	33	PCI024	16	31	35	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	R	2	G	0	82	x08FC8DE008404199	73:00:00	58.51	0.809	0.936	0.941	0.604	0.624	0.626	0.98	1.119	1.104	0.672	0.706	0.701	1.1	1.248	1.233	NRT	0	0	857	857	857	857	0	0	33	PCI021	15	35	63	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	R	2	G	0	82	x088C860020404199	70:00:00	56.49	0.806	0.953	0.941	0.601	0.624	0.634	0.969	1.109	1.099	0.669	0.701	0.704	1.088	1.233	1.228	NRT	0	0	857	857	857	857	0	0	33	PCI024	16	33	35	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	R	2	G	0	82	x08F485E008404199	74:00:00	57.8	0.809	0.939	0.948	0.607	0.624	0.631	0.985	1.109	1.114	0.675	0.699	0.709	1.106	1.238	1.248	NRT	0	0	857	857	857	857	0	0	33	PCI021	15	33	61	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	R	6	N	0	83	x08D04CC020404199	70:00:00	57.95	0.803	0.936	0.936	0.601	0.622	0.63	0.975	1.093	1.098	0.669	0.698	0.695	1.096	1.218	1.223	NRT	0	0	857	0	0	0	0	0	33	PCI024	6	19	52	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	R	6	N	4286	83	x0898994008404199	73:00:00	57.54	0.818	0.957	0.956	0.612	0.635	0.647	0.992	1.118	1.118	0.681	0.715	0.723	1.113	1.243	1.248	NRT	4286	2001	857	926	0	0	0	0	33	PCI021	10	38	38	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	a00000	a00000	0	0	0	0	a0000000
3	R	6	N	0	83	x08CC4CC020404199	69:00:00	57.63	0.804	0.936	0.93	0.598	0.627	0.627	0.97	1.103	1.093	0.667	0.703	0.705	1.09	1.233	1.223	NRT	0	0	857	0	0	0	0	0	33	PCI024	6	19	51	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	R	6	N	0	83	x089CA54008404199	74:00:00	57.6	0.816	0.937	0.945	0.61	0.632	0.64	0.991	1.103	1.123	0.678	0.705	0.713	1.111	1.238	1.258	NRT	0	0	857	0	0	0	0	0	33	PCI021	10	41	39	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	R	6	N	271	84	x08EC760020404199	69:00:00	57.14	0.794	0.903	0.922	0.598	0.617	0.617	0.96	1.073	1.088	0.666	0.693	0.69	1.078	1.198	1.213	NRT	271	272	3000	3000	3001	3001	3002	3002	33	PCI024	16	29	59	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	3003	3003	3004	3004	3005	3005	3006	3006	ffff0c	ffff0c	ffff00	ffff00	ffff00	ffff0c00	0
2	R	6	N	0	84	x08B061E008404199	69:00:00	55.72	0.799	0.942	0.926	0.598	0.627	0.62	0.97	1.108	1.088	0.665	0.7	0.693	1.087	1.233	1.208	NRT	0	0	857	0	0	0	0	0	33	PCI021	15	24	44	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	R	6	N	0	84	x08E86A0020404199	67:00:00	56.18	0.801	0.931	0.93	0.601	0.63	0.632	0.97	1.103	1.098	0.67	0.705	0.705	1.09	1.228	1.223	NRT	0	0	857	0	0	0	0	0	33	PCI024	16	26	58	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	R	6	N	0	84	x08A475E008404199	69:00:00	57.51	0.81	0.942	0.946	0.608	0.627	0.632	0.988	1.103	1.113	0.676	0.703	0.71	1.108	1.228	1.238	NRT	0	0	857	0	0	0	0	0	33	PCI021	15	29	41	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
