DO	HB	HTEMP	tPD_F	tPD	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	run	wf	x	y	lot	test
1	6	123	65.46	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	53	66	EUO2949JO2	0
2	6	123	63.33	60.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	53	68	EUO2949JO2	0
1	6	122	56.33	55.46	26	58	59	60	70	61	71	66	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	25	114	EUO2949JO2	0
2	6	124	58.96	57.21	26	58	59	60	70	61	71	66	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	25	116	EUO2949JO2	0
1	2	122	61.08	56.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	17	51	EUO2949JO2	0
2	2	121	60.71	58.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	17	53	EUO2949JO2	0
1	6	127	62.83	59.83	4001	4001	4002	4002	4003	4103	4103	4105	4109	4112	4112	4113	4113	4146	4146	3204	3204	3205	3205	3206	EUO294	23	25	90	EUO2949JO2	0
2	6	130	63.71	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	25	92	EUO2949JO2	0
1	2	129	60.71	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	16	64	EUO2949JO2	0
2	2	125	60.71	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	16	62	EUO2949JO2	0
1	2	126	63.71	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	14	66	EUO2949JO2	0
2	2	127	59.46	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	14	64	EUO2949JO2	0
1	6	127	60.71	58.96	60	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	18	96	EUO2949JO2	0
2	6	128	62.83	59.83	60	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	18	94	EUO2949JO2	0
1	6	128	61.08	58.08	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	14	86	EUO2949JO2	0
2	6	126	59.83	57.71	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	14	84	EUO2949JO2	0
1	6	126	60.71	61.08	4217	4217	4218	4218	4219	4219	4220	4220	4221	4221	4222	4222	4223	4223	4224	4224	4227	4228	4228	4400	EUO416	11	55	77	EUO2949JO2	0
2	6	126	59.46	58.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	55	79	EUO2949JO2	0
1	6	126	62.46	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	20	70	EUO2949JO2	0
2	6	126	64.58	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	20	68	EUO2949JO2	0
1	6	128	60.71	59.83	112	4001	4001	4002	4002	4003	4003	4004	4004	4005	4005	4006	4006	4007	4007	4009	4009	4010	4010	4011	EUO294	23	25	34	EUO2949JO2	0
2	6	128	61.58	59.83	851	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	25	36	EUO2949JO2	0
1	6	129	63.71	62.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	24	45	EUO2949JO2	0
2	6	130	64.58	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	24	43	EUO2949JO2	0
1	2	128	61.58	61.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	23	100	EUO2949JO2	0
2	2	128	60.33	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	23	101	EUO2949JO2	0
