DO	HB	NB	V43	run	wf	x	y	test
3	2	0	4122	PCI033	7	29	36	0
2	2	0	4122	PCI033	4	44	57	0
4	2	0	3190	PCI033	7	32	36	0
1	6	0	3190	PCI033	4	38	55	0
3	6	0	3190	PCI033	7	25	51	0
2	6	1319	4122	PCI033	4	28	55	0
4	6	0	3190	PCI033	7	24	49	0
1	2	0	3190	PCI033	4	46	35	0
3	2	0	4122	PCI033	9	30	48	0
2	2	0	3190	PCI033	4	48	36	0
4	2	0	3190	PCI033	9	41	48	0
1	6	1364	3190	PCI033	4	38	44	0
3	6	0	3190	PCI033	7	28	47	0
2	6	0	3190	PCI033	4	40	45	0
4	6	0	3190	PCI033	7	31	46	0
1	6	0	4122	PCI033	4	34	40	0
3	6	0	4122	PCI033	7	25	54	0
2	6	2635	3190	PCI033	4	38	40	0
4	6	0	3190	PCI033	7	24	53	0
1	2	0	4122	PCI033	4	39	62	0
3	2	0	3190	PCI033	9	43	47	0
2	2	0	3190	PCI033	4	28	63	0
4	2	0	3190	PCI033	9	26	47	0
1	6	0	4122	PCI033	4	23	55	0
3	6	1636	3190	PCI033	7	44	41	0
2	6	0	3190	PCI033	4	22	53	0
4	6	0	4122	PCI033	7	47	43	0
1	8	0	0	PCI033	4	37	53	0
3	8	0	0	PCI033	7	42	47	0
2	8	0	0	PCI033	4	33	53	0
4	8	0	0	PCI033	7	42	48	0
1	8	0	0	PCI033	4	29	53	0
3	8	0	0	PCI033	7	38	44	0
2	8	0	0	PCI033	4	28	53	0
4	8	0	0	PCI033	7	42	45	0
1	6	1636	3190	PCI033	4	26	39	0
3	6	0	3190	PCI033	7	28	58	0
2	6	0	4122	PCI033	4	30	37	0
4	6	0	3190	PCI033	7	26	57	0
1	2	0	3190	PCI033	4	51	45	0
3	2	0	3190	PCI033	7	23	40	0
2	2	0	3190	PCI033	4	51	48	0
4	2	0	3190	PCI033	7	28	38	0
1	2	0	4122	PCI033	4	28	34	0
3	2	0	3190	PCI033	7	32	64	0
2	2	0	3190	PCI033	4	30	33	0
4	2	0	4122	PCI033	7	27	63	0
1	2	0	3190	PCI033	4	42	62	0
3	2	0	3190	PCI033	9	28	49	0
2	2	0	3190	PCI033	4	46	34	0
4	2	0	4122	PCI033	9	29	48	0
1	2	0	3190	PCI033	4	22	38	0
3	2	0	3190	PCI033	7	40	61	0
2	2	0	3190	PCI033	4	25	37	0
4	2	0	3190	PCI033	7	38	62	0
1	2	0	4122	PCI033	4	35	61	0
3	2	0	3190	PCI033	7	45	39	0
2	2	0	3190	PCI033	4	32	60	0
4	2	0	4122	PCI033	7	47	40	0
1	2	0	3190	PCI033	4	38	61	0
3	2	0	3190	PCI033	7	41	36	0
2	2	0	3190	PCI033	4	35	63	0
4	2	0	3190	PCI033	7	48	39	0
1	2	0	3190	PCI033	4	51	50	0
3	2	0	3190	PCI033	7	31	37	0
2	2	0	4122	PCI033	4	50	54	0
4	2	0	3190	PCI033	7	34	37	0
1	2	0	4122	PCI033	4	26	36	0
3	2	0	3190	PCI033	7	44	61	0
2	2	0	3190	PCI033	4	29	34	0
4	2	0	4122	PCI033	7	41	62	0
1	2	0	4122	PCI033	5	42	47	0
3	2	0	3190	PCI033	9	28	53	0
2	2	0	3190	PCI033	5	42	49	0
4	2	0	3190	PCI033	9	25	53	0
1	6	0	3190	PCI033	4	26	48	0
3	6	2398	3190	PCI033	7	38	52	0
2	6	0	3190	PCI033	4	26	47	0
4	6	0	3190	PCI033	7	37	53	0
1	6	0	3190	PCI033	4	34	39	0
3	6	0	4122	PCI033	7	37	59	0
2	6	2398	3190	PCI033	4	36	39	0
4	6	0	4122	PCI033	7	35	59	0
1	6	0	3190	PCI033	4	46	60	0
3	6	0	4122	PCI033	9	47	48	0
2	6	2662	4122	PCI033	4	41	60	0
4	6	0	3190	PCI033	9	46	47	0
1	2	0	3190	PCI033	4	22	45	0
3	2	0	3190	PCI033	7	48	51	0
2	2	0	3190	PCI033	4	22	43	0
4	2	0	3190	PCI033	7	47	53	0
1	8	831	0	PCI033	4	28	47	0
3	8	831	0	PCI033	7	30	48	0
2	8	831	0	PCI033	4	30	46	0
4	8	831	0	PCI033	7	31	48	0
1	2	0	3190	PCI033	4	26	52	0
3	2	0	3190	PCI033	7	43	46	0
2	2	0	4122	PCI033	4	26	51	0
4	2	0	3190	PCI033	7	43	47	0
1	2	0	3190	PCI033	4	22	51	0
3	2	0	4122	PCI033	7	48	45	0
2	2	0	4122	PCI033	4	21	48	0
4	2	0	3190	PCI033	7	48	48	0
1	2	0	4122	PCI033	4	46	45	0
3	2	0	3190	PCI033	7	42	44	0
2	2	0	3190	PCI033	4	46	47	0
4	2	0	4122	PCI033	7	44	45	0
1	2	0	4122	PCI033	4	32	33	0
3	2	0	3190	PCI033	7	16	52	0
2	2	0	4122	PCI033	4	34	33	0
4	2	0	3190	PCI033	7	18	40	0
1	6	0	3190	PCI033	5	31	50	0
3	6	0	4122	PCI033	9	47	52	0
2	6	0	3190	PCI033	5	29	48	0
4	6	1781	3190	PCI033	9	40	51	0
1	2	0	3190	PCI033	5	41	52	0
3	2	0	3190	PCI033	9	27	54	0
2	2	0	3190	PCI033	5	40	52	0
4	2	0	3190	PCI033	9	28	54	0
1	6	2398	3190	PCI033	4	24	57	0
3	6	0	3190	PCI033	7	48	43	0
2	6	0	3190	PCI033	4	22	56	0
4	6	0	3190	PCI033	7	49	45	0
1	2	0	3190	PCI033	4	52	43	0
3	2	0	3190	PCI033	7	24	60	0
2	2	0	4122	PCI033	4	53	45	0
4	2	0	3190	PCI033	7	19	56	0
1	2	0	4122	PCI033	4	26	46	0
3	2	0	3190	PCI033	7	43	50	0
2	2	0	4122	PCI033	4	26	45	0
4	2	0	3190	PCI033	7	42	52	0
1	2	0	4122	PCI033	4	24	52	0
3	2	0	4122	PCI033	7	45	51	0
2	2	0	4122	PCI033	4	23	50	0
4	2	0	3190	PCI033	7	44	53	0
1	2	0	3190	PCI033	4	47	38	0
3	2	0	3190	PCI033	7	25	59	0
2	2	0	3190	PCI033	4	49	39	0
4	2	0	4122	PCI033	7	20	55	0
1	2	0	4122	PCI033	4	41	45	0
3	2	0	3190	PCI033	7	34	46	0
2	2	0	4122	PCI033	4	42	45	0
4	2	0	3190	PCI033	7	35	46	0
1	2	0	3190	PCI033	4	49	47	0
3	2	0	4122	PCI033	7	21	48	0
2	2	0	4122	PCI033	4	49	49	0
4	2	0	3190	PCI033	7	22	46	0
1	8	863	0	W0A000	0	0	0	0
3	8	863	0	W0A000	0	0	0	0
2	8	863	0	W0A000	0	0	0	0
4	8	863	0	W0A000	0	0	0	0
1	6	4001	3190	PCI033	4	24	40	0
3	6	4001	4122	PCI033	7	39	59	0
2	6	4001	3190	PCI033	4	27	39	0
4	6	4001	3190	PCI033	7	37	60	0
1	2	0	4122	PCI033	4	31	46	0
3	2	0	4122	PCI033	7	32	48	0
2	2	0	4122	PCI033	4	34	46	0
4	2	0	4122	PCI033	7	37	48	0
1	2	0	3190	PCI033	4	29	55	0
3	2	0	3190	PCI033	7	37	57	0
2	2	0	4122	PCI033	4	27	55	0
4	2	0	3190	PCI033	7	34	57	0
1	2	0	3190	PCI033	4	25	43	0
3	2	0	3190	PCI033	7	38	55	0
2	2	0	3190	PCI033	4	30	41	0
4	2	0	3190	PCI033	7	33	55	0
1	2	0	4122	PCI033	4	45	40	0
3	2	0	3190	PCI033	7	28	57	0
2	2	0	3190	PCI033	4	47	41	0
4	2	0	3190	PCI033	7	26	56	0
1	2	0	4122	PCI033	4	50	41	0
3	2	0	3190	PCI033	7	19	44	0
2	2	0	4122	PCI033	4	51	43	0
4	2	0	3190	PCI033	7	20	42	0
1	6	0	3190	PCI033	4	19	55	0
3	6	3003	4122	PCI033	7	51	53	0
2	6	0	3190	PCI033	4	18	52	0
4	6	0	3190	PCI033	7	50	56	0
1	6	0	3190	PCI033	5	37	53	0
3	6	0	3190	PCI033	9	27	53	0
2	6	0	3190	PCI033	5	34	51	0
4	6	2635	3190	PCI033	9	24	53	0
1	2	0	3190	PCI033	4	21	54	0
3	2	0	3190	PCI033	7	49	47	0
2	2	0	3190	PCI033	4	21	51	0
